LoanNr_ChkDgt,Zip,NAICS,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,SBA_Appv,prediction
1318015010,94539,54,2005,84,7,1.0,0,7,1,1,1,0,281000.0,50000.0,paid in full
2201365000,63017,56,2007,36,5,1.0,2,7,0,1,0,0,9200.0,4600.0,charged off
2480345007,95602,54,2007,65,5,1.0,0,5,0,1,0,0,170000.0,50000.0,charged off
4573443008,90017,81,1991,240,12,1.0,0,0,1,0,0,0,457600.0,390104.0,paid in full
3213403009,78596,44,1988,116,10,2.0,0,0,0,0,0,0,130000.0,113100.0,charged off
9293024005,6114,54,2006,81,4,1.0,2,4,1,1,1,0,549199.0,100000.0,paid in full
4341243008,15401,33,1991,180,30,1.0,0,0,1,0,0,0,290000.0,228926.0,paid in full
4521535001,55949,72,2011,84,5,1.0,0,0,0,2,1,0,30961.0,5000.0,paid in full
2820594002,80524,81,1999,120,1,2.0,0,0,49952,0,0,0,150000.0,112500.0,paid in full
1635194004,34429,81,1998,60,6,1.0,0,0,1,0,0,0,105000.0,97500.0,paid in full
3059945000,19096,42,2008,39,2,1.0,0,2,0,1,1,0,71525.0,12500.0,charged off
2305965008,94014,56,2007,84,3,1.0,0,3,0,1,1,0,45000.0,15000.0,paid in full
3207685008,14843,42,2008,60,7,1.0,0,7,0,1,1,0,51219.0,12500.0,paid in full
4360463010,60438,44,1991,60,20,1.0,0,0,1,0,0,0,100000.0,50000.0,paid in full
1979115002,32097,42,2006,93,2,2.0,0,2,0,2,0,0,29001.0,85000.0,paid in full
4707294003,52172,62,2001,171,7,1.0,0,0,1,2,0,0,355500.0,266625.0,paid in full
4615313003,14424,54,1992,240,2,1.0,0,0,1,0,0,0,60000.0,54000.0,paid in full
4837415007,75287,56,2011,59,2,2.0,0,2,0,1,1,0,170049.0,35000.0,charged off
4780173002,36201,45,1992,60,2,2.0,0,0,1,0,0,0,25000.0,22500.0,paid in full
5325394008,46304,72,2002,240,75,1.0,0,0,1,1,0,0,1300000.0,975000.0,paid in full
2177345004,33912,56,2007,67,4,1.0,0,4,0,1,1,0,54489.0,12500.0,charged off
8004124000,16662,81,2005,84,3,2.0,0,3,1,2,1,0,55890.0,10000.0,paid in full
5790773003,78520,53,1993,48,2,2.0,0,0,1,0,0,0,227000.0,188410.0,paid in full
5067133000,54301,44,1992,240,2,1.0,0,0,1,0,0,0,95000.0,85500.0,paid in full
3506203001,91362,33,1989,120,44,1.0,0,0,1,0,0,0,400000.0,324000.0,paid in full
3393734006,46176,44,2000,96,23,1.0,0,0,1,1,0,0,324000.0,243000.0,paid in full
8878773001,8876,56,1996,120,2,1.0,0,0,1,0,0,1,75000.0,60000.0,paid in full
8019464000,77382,42,2005,6,6,1.0,5,6,1,1,1,0,63700.0,10000.0,charged off
1439675005,99301,11,2005,79,3,2.0,0,3,0,2,1,0,461127.0,62500.0,paid in full
2505335001,85281,23,2007,113,25,1.0,5,25,0,1,0,0,439400.0,329550.0,paid in full
2485305005,54610,81,2007,60,1,2.0,0,1,0,2,0,0,53000.0,26500.0,paid in full
8388393002,39208,56,1995,84,2,1.0,0,0,1,0,0,1,10000.0,9000.0,paid in full
1844154010,26301,42,1998,120,3,2.0,0,0,1,0,0,1,50000.0,40000.0,paid in full
4379695001,48838,44,2011,84,0,1.0,0,0,0,1,1,0,35480.0,10000.0,paid in full
4415893008,52804,23,1991,84,7,1.0,0,0,1,0,0,0,30000.0,27000.0,paid in full
4406483001,92109,81,1991,300,11,1.0,0,0,1,0,0,0,663300.0,530640.0,paid in full
4021315009,53092,54,2010,84,0,2.0,4,0,0,1,1,0,285000.0,37500.0,paid in full
5537243004,75207,42,1993,60,14,1.0,0,0,1,0,0,0,190000.0,161500.0,paid in full
6357443002,94065,53,1994,300,16,1.0,0,0,1,0,0,0,345000.0,241500.0,paid in full
1678665010,95959,81,2006,16,1,1.0,0,1,0,1,1,0,10321.0,2500.0,charged off
2787595006,96819,48,2008,23,3,2.0,0,3,0,1,0,0,10000.0,8500.0,charged off
2641295007,63146,54,2007,65,4,1.0,2,4,0,1,0,0,50000.0,25000.0,charged off
6090874009,37219,81,2003,240,23,2.0,23,0,1,1,0,0,957000.0,957000.0,paid in full
1648655006,63701,23,2006,84,1,1.0,0,1,0,2,1,0,10000.0,5000.0,paid in full
3358805004,97824,23,2009,84,1,1.0,1,2,0,2,1,0,35098.0,5000.0,paid in full
1419985007,19365,81,2005,60,8,1.0,0,8,0,1,0,0,17800.0,8900.0,paid in full
2512515005,33161,54,2007,84,2,1.0,2,4,0,1,1,0,52500.0,17500.0,paid in full
2826854009,46201,33,1999,54,40,1.0,0,0,1,0,0,0,700000.0,399000.0,paid in full
5656353005,91766,42,1993,300,14,1.0,0,0,1,0,0,0,292500.0,234000.0,paid in full
6560954004,33760,72,2003,276,1,1.0,0,0,1,1,0,0,662500.0,496875.0,paid in full
3305215000,43235,56,2009,60,0,1.0,0,0,0,1,1,0,778774.0,80000.0,paid in full
9183824008,56482,32,2006,7,10,2.0,8,8,1,2,1,0,80972.0,17500.0,charged off
4850654007,1545,53,2001,84,1,1.0,0,1,1,1,1,0,103348.0,25000.0,paid in full
2675425007,70072,51,2007,92,1,2.0,3,1,0,1,0,0,5000.0,4250.0,charged off
4665264006,42071,81,2001,240,4,2.0,0,0,1,1,0,0,530308.0,450000.0,paid in full
9983433000,31322,45,1997,84,3,2.0,0,0,1,0,0,1,20650.0,16520.0,paid in full
1096685005,31302,56,2005,84,1,1.0,0,0,1,1,1,0,10000.0,5000.0,paid in full
1472445008,8619,44,2005,72,4,1.0,0,4,0,1,1,0,222500.0,75000.0,paid in full
1061254009,80121,44,1997,120,3,2.0,0,0,1,0,0,1,100000.0,80000.0,paid in full
1948475002,2043,44,2006,61,2,2.0,0,2,0,1,1,0,10000.0,5000.0,charged off
2266495005,80031,23,2007,47,1,1.0,0,1,0,1,1,0,80495.0,18350.0,charged off
2859685009,54650,56,2008,84,3,1.0,0,3,0,1,1,0,31949.0,10000.0,paid in full
2759925001,32086,72,2008,87,8,1.0,4,8,0,1,0,0,315000.0,157500.0,paid in full
4889994001,85281,23,2001,24,56,1.0,4,56,1,1,1,0,150000.0,75000.0,paid in full
1345545000,94114,56,2005,84,3,2.0,0,3,1,1,1,0,138714.0,50000.0,paid in full
6168144003,6511,72,2003,84,2,1.0,0,2,1,1,1,0,20699.0,10000.0,paid in full
5050705001,88001,92,2012,84,3,2.0,1,4,0,1,1,0,115000.0,37500.0,paid in full
1694525003,47274,54,2006,60,3,2.0,0,3,0,1,1,0,19798.0,5000.0,paid in full
2385355001,46158,23,2007,27,2,1.0,10,10,0,1,1,0,261075.0,50000.0,charged off
2202185007,11215,72,2007,84,10,1.0,0,10,0,1,1,0,51250.0,12500.0,paid in full
1657014008,92714,54,1998,120,3,2.0,0,0,1,0,0,1,93000.0,74400.0,paid in full
3151213004,67214,44,1988,37,6,2.0,0,0,0,0,0,0,40000.0,36000.0,charged off
3424226002,60178,71,2008,84,4,1.0,2,0,1,1,1,0,565124.0,125000.0,paid in full
4520844002,44115,44,2001,1,3,1.0,3,3,1,1,1,0,85000.0,42500.0,charged off
2710756004,11212,44,2007,38,3,1.0,0,3,1,1,1,0,13704.0,5000.0,charged off
2053885000,53575,56,2007,84,5,1.0,10,5,0,1,1,0,75617.0,12500.0,paid in full
2502875004,60629,53,2007,60,1,2.0,0,1,0,1,1,0,10500.0,5250.0,paid in full
1959165009,80021,52,2006,44,18,1.0,0,18,0,1,1,0,85676.0,12500.0,charged off
2432785005,94538,23,2007,37,2,1.0,0,2,0,1,0,0,25000.0,21250.0,charged off
6379914009,15044,81,2003,12,5,1.0,1,6,1,1,1,0,35000.0,17500.0,charged off
2059185003,75287,72,2007,12,4,1.0,1,4,0,1,1,0,108975.0,17500.0,charged off
4502795003,70802,54,2011,240,1,1.0,0,1,0,1,0,0,520000.0,390000.0,paid in full
7613473005,68064,42,1994,60,2,2.0,0,0,1,0,0,1,30000.0,24000.0,paid in full
7586464002,11581,56,2004,84,2,1.0,1,3,1,1,1,0,188000.0,49500.0,paid in full
2199945008,90303,81,2007,60,6,1.0,2,6,0,1,0,0,50000.0,25000.0,charged off
6422054007,34233,71,2003,297,7,1.0,0,0,1,1,0,0,369500.0,277125.0,paid in full
7257023002,2885,45,1994,60,7,1.0,0,0,1,0,0,0,75000.0,67500.0,paid in full
1092295009,93304,81,2005,84,4,2.0,0,0,1,1,1,0,10000.0,5000.0,paid in full
1902604002,13421,44,1998,36,4,2.0,0,0,1,0,1,0,67426.0,20000.0,paid in full
8242163000,39191,11,1995,180,2,2.0,0,0,1,0,0,0,332000.0,249000.0,paid in full
2380946009,21703,23,2006,84,8,1.0,0,8,1,1,1,0,45176.0,11000.0,paid in full
2579315009,44102,33,2007,83,8,1.0,3,5,0,1,1,0,94949.0,25000.0,paid in full
7641054001,18424,42,2004,33,10,1.0,3,7,1,1,1,0,460000.0,125000.0,paid in full
2324115006,80209,44,2007,72,5,2.0,0,5,0,1,1,0,107206.0,25000.0,charged off
2744206001,53207,81,2007,55,3,1.0,5,3,1,1,0,0,86257.0,45000.0,charged off
5010805002,68124,62,2012,12,53,1.0,0,53,0,1,1,0,300000.0,150000.0,paid in full
1430025002,49202,81,2005,120,0,2.0,5,0,0,1,0,0,184800.0,138600.0,paid in full
2704156005,10453,54,2007,83,4,1.0,2,2,1,1,0,0,121157.0,45000.0,paid in full
3918544001,63348,54,2000,60,2,1.0,0,0,1,1,0,0,50000.0,40000.0,paid in full
2551025003,33314,23,2007,65,3,1.0,0,3,0,1,0,0,100000.0,50000.0,charged off
4707923006,80828,71,1992,120,3,2.0,0,0,1,0,0,0,105000.0,135000.0,paid in full
6736584005,12205,48,2003,240,24,1.0,0,24,1,1,0,0,228000.0,237000.0,paid in full
1274305000,32114,54,2005,84,1,2.0,2,3,1,1,1,0,20352.0,5000.0,paid in full
1765594004,19020,44,1998,37,29,1.0,0,0,1,0,1,0,35000.0,17500.0,paid in full
4004425005,68112,23,2010,120,27,1.0,0,27,0,1,0,0,467000.0,420300.0,paid in full
6827644005,20902,51,2004,84,3,1.0,0,3,1,1,1,0,10000.0,5000.0,paid in full
2177975005,80305,42,2007,32,4,1.0,0,4,0,1,1,0,190073.0,25000.0,charged off
8964563004,11216,23,1996,91,12,1.0,0,0,1,0,0,1,35000.0,28000.0,paid in full
3087495004,37072,54,2008,44,4,2.0,5,4,0,1,1,0,75000.0,25000.0,charged off
4581833007,61110,44,1991,240,127,1.0,100,27,1,0,0,0,749000.0,749000.0,paid in full
4995055001,32904,62,2012,300,10,1.0,0,9,0,1,0,0,784300.0,588225.0,paid in full
1617655003,37221,53,2006,41,3,2.0,1,4,0,1,0,0,282000.0,50000.0,charged off
7579603002,18224,44,1994,180,3,1.0,0,0,1,0,0,1,70000.0,63000.0,paid in full
5476804008,77477,54,2002,84,7,1.0,2,7,1,1,1,0,434482.0,50000.0,paid in full
9639993005,90004,81,1997,300,11,1.0,0,0,1,0,0,0,250000.0,187500.0,paid in full
4747223002,3031,44,1992,240,2,1.0,0,0,1,0,0,0,106400.0,85120.0,paid in full
4722005002,43065,72,2011,60,0,1.0,0,0,0,1,0,0,16000.0,8000.0,paid in full
3208576008,80020,72,2008,84,20,1.0,0,20,1,1,1,0,110675.0,22500.0,paid in full
2487625000,98402,54,2007,84,2,1.0,0,2,0,1,1,0,136454.0,25000.0,paid in full
1392445008,10005,54,2005,84,1,1.0,0,1,0,1,1,0,35000.0,17500.0,paid in full
5028894009,2180,71,2002,84,2,1.0,0,2,1,1,1,0,5000.0,2500.0,paid in full
3091523000,92126,44,1988,240,55,1.0,50,1,0,0,0,0,340000.0,340000.0,paid in full
8050813000,99737,11,1995,120,3,1.0,0,0,1,0,0,0,155000.0,139500.0,paid in full
2644556004,91911,23,2007,84,1,2.0,0,1,1,1,1,0,22503.0,5000.0,paid in full
8167074003,14094,23,2005,84,1,1.0,0,1,1,1,1,0,5000.0,2500.0,paid in full
9359303003,75801,81,1996,48,3,2.0,0,0,1,0,0,1,25000.0,20000.0,paid in full
3009175007,54935,32,2008,84,2,2.0,5,2,0,2,0,0,275000.0,137500.0,paid in full
4700665000,5464,31,2011,18,2,2.0,2,0,0,2,0,0,12000.0,6000.0,paid in full
1631875006,90020,53,2006,84,2,1.0,2,2,0,1,0,0,50000.0,25000.0,paid in full
9381903002,66027,45,1996,84,4,2.0,0,0,38510,0,0,1,99140.0,80000.0,paid in full
5244055005,96816,54,2012,42,3,1.0,0,3,0,1,0,0,165000.0,123750.0,paid in full
5766973004,84604,62,1993,180,26,1.0,0,0,1,0,0,0,272900.0,223778.0,paid in full
4718794006,33027,72,2001,82,24,2.0,0,0,6305,1,0,0,500000.0,375000.0,paid in full
1832795002,11797,23,2006,84,6,1.0,1,1,0,1,1,0,87392.0,25000.0,paid in full
6238183004,65668,62,1994,180,3,1.0,0,0,1,0,0,0,56000.0,50400.0,paid in full
5725333004,74601,33,1993,120,40,1.0,0,0,1,0,0,0,750000.0,637500.0,paid in full
2416446004,34769,54,2006,84,3,1.0,0,3,1,2,1,0,35840.0,12500.0,paid in full
2469505006,27407,48,2007,60,1,1.0,0,1,0,2,0,0,120100.0,60050.0,paid in full
3279525005,27837,23,2009,101,1,1.0,1,1,0,1,0,0,12500.0,10625.0,charged off
8632084002,11370,54,2005,84,2,1.0,5,2,1,1,1,0,156000.0,50000.0,paid in full
4649285008,1432,72,2011,60,16,1.0,0,16,0,1,0,0,30000.0,15000.0,paid in full
9066553004,66061,56,1996,120,12,2.0,0,0,1,0,0,0,55000.0,44000.0,paid in full
6009133007,66207,81,1994,120,12,2.0,0,0,1,0,0,0,253000.0,215050.0,paid in full
1792114006,21093,92,1998,60,1,1.0,0,0,1,0,0,1,50000.0,40000.0,paid in full
1700775005,6902,81,2006,84,1,1.0,0,1,0,1,0,0,27000.0,13500.0,paid in full
3458493001,11706,44,1989,60,1,2.0,0,0,0,0,0,0,60000.0,54000.0,paid in full
2007495000,45209,56,2006,71,1,2.0,3,1,0,1,1,0,410977.0,75000.0,paid in full
1153865008,10003,56,2005,36,2,2.0,0,2,1,1,1,0,27726.0,10250.0,paid in full
2715045006,26033,72,2007,148,1,2.0,6,0,0,2,0,0,150000.0,75000.0,paid in full
4573175002,45459,23,2011,60,1,1.0,0,0,0,1,1,0,63285.0,25000.0,paid in full
4393425008,84020,62,2011,84,6,1.0,0,6,0,1,0,0,285000.0,256500.0,paid in full
1665515001,86401,23,2006,84,1,2.0,0,1,0,1,0,0,10000.0,5000.0,paid in full
5860333007,1603,33,1993,8,29,1.0,0,0,1,0,0,0,95000.0,76000.0,paid in full
5687524007,95660,81,2002,300,4,2.0,0,0,1,1,0,0,217000.0,162750.0,paid in full
2881595002,33569,48,2008,84,1,2.0,0,1,0,2,1,0,25545.0,5000.0,paid in full
2165484007,90723,31,1998,240,95,1.0,20,0,1,0,0,0,987000.0,987000.0,paid in full
2671785002,11204,54,2007,55,4,1.0,0,4,0,1,0,0,50000.0,25000.0,charged off
2694765010,55430,52,2007,84,2,1.0,1,3,0,1,1,0,31200.0,15500.0,paid in full
5660413002,14456,23,1993,84,5,1.0,0,0,1,0,0,0,85000.0,76500.0,paid in full
2721735008,6018,45,2007,38,1,2.0,2,1,0,2,0,0,25000.0,12500.0,charged off
3214925006,56728,72,2008,300,5,2.0,2,3,0,2,0,0,600000.0,450000.0,paid in full
1520285003,84119,23,2006,60,9,2.0,0,9,0,1,0,0,11000.0,12500.0,paid in full
7477264002,92673,23,2004,240,6,1.0,6,0,1,1,0,0,218000.0,218000.0,paid in full
5995984007,48706,81,2003,84,7,1.0,0,7,1,1,1,0,25000.0,12500.0,paid in full
3459675001,27104,72,2009,39,4,2.0,0,0,0,1,0,0,150000.0,135000.0,charged off
1711395004,7047,44,2006,84,2,1.0,0,2,0,1,1,0,17125.0,5000.0,paid in full
1207305000,74012,45,2005,45,3,2.0,1,1,1,1,0,0,25000.0,12500.0,charged off
1208045007,48098,23,2005,46,4,1.0,2,4,1,1,0,0,50000.0,25000.0,charged off
8766653006,32177,81,1996,120,12,1.0,0,0,1,0,0,1,100000.0,80000.0,paid in full
7889103000,14072,23,1995,36,18,1.0,0,0,1,0,0,0,265000.0,225250.0,paid in full
6302254003,76034,54,2003,84,1,1.0,3,1,1,1,1,0,15748.0,5000.0,paid in full
3121905001,46060,23,2008,84,3,1.0,0,3,0,1,1,0,22777.0,5000.0,paid in full
5965234004,10021,56,2003,46,3,1.0,2,3,1,1,1,0,77592.0,25000.0,paid in full
2867785004,18960,48,2008,60,2,1.0,0,2,0,2,0,0,12000.0,10200.0,paid in full
2294735002,53151,72,2007,84,27,1.0,1,28,0,1,1,0,53081.0,10000.0,paid in full
2301225001,11430,45,2007,60,1,2.0,5,6,0,1,0,0,200000.0,150000.0,paid in full
2537644009,10023,54,1999,121,12,2.0,0,0,1,0,0,0,602750.0,452063.0,paid in full
3860445009,3561,33,2010,60,1,2.0,3,4,0,2,0,0,100000.0,50000.0,paid in full
3705704008,19406,33,2000,12,14,1.0,0,0,1,1,1,0,200000.0,150000.0,paid in full
6118494005,3878,48,2003,19,2,1.0,0,2,1,1,1,0,13000.0,6250.0,charged off
8968524007,45122,56,2005,36,1,1.0,2,1,1,2,1,0,21288.0,10000.0,charged off
4055013008,97378,31,1990,240,8,1.0,0,0,1,0,0,0,106000.0,95400.0,paid in full
1177075001,7670,44,2005,25,3,2.0,1,3,1,1,1,0,49000.0,16000.0,charged off
4033464009,66062,44,2001,240,8,1.0,8,0,1,1,0,0,207000.0,207000.0,paid in full
2749485007,33178,61,2008,12,4,1.0,2,4,0,1,1,0,61500.0,25000.0,charged off
8356103002,62839,62,1995,34,2,1.0,0,0,1,0,0,1,36000.0,28800.0,paid in full
2292775010,79424,62,2007,63,1,2.0,1,1,0,1,0,0,60000.0,45000.0,charged off
6317604004,13669,51,2003,123,28,1.0,0,0,1,2,0,0,1460000.0,999998.0,paid in full
7839994007,37067,62,2004,300,41,1.0,0,0,66910,1,0,0,2000000.0,1500000.0,paid in full
1247325000,64138,72,2005,84,6,1.0,1,6,1,1,0,0,50000.0,25000.0,paid in full
1548865002,40206,56,2006,60,12,1.0,0,12,0,1,1,0,16283.0,5000.0,paid in full
1173385003,95682,72,2005,84,3,2.0,0,3,1,2,1,0,10700.0,5000.0,paid in full
7493714006,63126,81,2004,83,8,1.0,4,0,1,1,1,0,103769.0,22500.0,paid in full
4291783007,74107,42,1991,60,13,1.0,0,0,1,0,0,0,500000.0,400000.0,paid in full
2497946002,95759,44,2007,84,4,1.0,1,4,1,1,1,0,18184.0,5000.0,paid in full
2147585005,2917,81,2007,31,5,1.0,0,5,0,1,0,0,43000.0,21500.0,charged off
1459555001,18938,31,2005,84,2,2.0,5,2,0,1,0,0,200000.0,150000.0,paid in full
7221894010,46970,72,2004,17,16,1.0,0,16,1,2,1,0,15000.0,7500.0,paid in full
3477765008,7070,81,2009,58,5,2.0,0,5,0,1,0,0,25000.0,22500.0,charged off
7629764010,80863,54,2004,13,10,1.0,0,10,1,2,1,0,150000.0,75000.0,paid in full
2662575007,92841,54,2007,70,6,1.0,0,6,0,1,0,0,70000.0,35000.0,charged off
3641465004,48382,72,2009,120,1,2.0,14,1,43579,1,0,0,274400.0,298800.0,paid in full
6234434006,98223,72,2003,120,9,1.0,0,0,68020,2,0,0,100000.0,85000.0,paid in full
2968976008,94087,53,2007,51,1,1.0,2,3,1,1,1,0,60407.0,12500.0,charged off
7171074001,3857,81,2004,84,2,1.0,0,3,1,1,1,0,10506.0,3750.0,paid in full
8706213001,8540,53,1996,84,1,2.0,0,0,1,0,0,1,60000.0,48000.0,paid in full
9278113003,88345,53,1996,84,2,1.0,0,0,1,0,0,1,55000.0,44000.0,paid in full
2978035005,84078,48,2008,84,1,1.0,0,1,0,2,0,0,15000.0,7500.0,paid in full
2971105010,76135,48,2008,120,3,1.0,5,3,0,1,0,0,20000.0,17000.0,paid in full
1904475000,92103,62,2006,84,1,2.0,0,1,0,1,1,0,29225.0,7500.0,paid in full
4623634001,53406,33,2001,26,2,1.0,0,0,1,1,0,0,94000.0,79900.0,paid in full
1320965001,48126,45,2005,87,2,1.0,0,2,1,1,1,0,34878.0,17500.0,paid in full
2393135005,35405,72,2007,59,25,2.0,2,25,0,1,0,0,20000.0,17000.0,charged off
2882585001,49503,23,2008,51,50,1.0,0,50,0,1,0,0,350000.0,175000.0,paid in full
1190585006,2740,48,2005,60,2,1.0,0,2,1,1,0,0,40000.0,20000.0,paid in full
1619445003,30303,72,2006,84,5,2.0,0,5,0,1,1,0,13235.0,5000.0,paid in full
1558345003,22942,81,2006,60,3,1.0,1,3,0,2,0,0,50000.0,25000.0,paid in full
1850655010,34234,23,2006,84,15,1.0,0,15,0,1,1,0,202666.0,50000.0,paid in full
3529173008,54301,81,1989,212,1,2.0,0,0,1,0,0,0,400000.0,330400.0,paid in full
1737555002,15239,81,2006,60,3,1.0,0,3,0,1,0,0,20000.0,10000.0,paid in full
8481573002,22192,81,1995,120,11,1.0,0,0,1,0,0,0,266300.0,226355.0,paid in full
1864005004,98136,44,2006,13,1,2.0,0,1,0,1,1,0,17361.0,5000.0,charged off
4711243006,95207,44,1992,303,4,1.0,0,0,1,0,0,0,420000.0,336000.0,paid in full
3325475005,2857,48,2009,60,3,1.0,0,3,0,1,0,0,40000.0,20000.0,paid in full
2068985009,48025,51,2007,84,1,2.0,0,1,0,1,1,0,34602.0,12500.0,paid in full
9162604002,89102,23,2006,84,6,1.0,2,8,1,1,1,0,24265.0,5000.0,paid in full
9772974005,83864,72,2006,300,15,1.0,0,0,55524,2,0,0,1250000.0,937500.0,paid in full
1048305002,32807,44,2004,84,3,1.0,0,0,1,1,1,0,10000.0,5000.0,paid in full
6178353004,71201,44,1994,60,9,1.0,0,0,1,0,0,0,85000.0,63750.0,paid in full
3439145009,25309,32,2009,60,2,2.0,0,2,0,1,0,0,36000.0,18000.0,paid in full
1669685003,2780,81,2006,84,1,2.0,0,1,0,1,1,0,14211.0,5000.0,paid in full
6846884002,33647,44,2004,0,5,1.0,0,5,1,1,0,0,40000.0,20000.0,charged off
6610484004,3051,61,2003,84,2,1.0,0,2,1,1,1,0,49600.0,17500.0,paid in full
1189455005,60517,44,2005,84,2,2.0,1,3,1,1,0,0,35000.0,17500.0,paid in full
5821994010,11706,44,2003,84,2,1.0,0,2,1,1,1,0,59732.0,25000.0,paid in full
3780264007,46321,62,2000,240,7,1.0,4,3,1,1,0,0,117000.0,124000.0,paid in full
5321744009,3909,45,2002,17,2,1.0,0,2,1,2,1,0,10000.0,5000.0,paid in full
3370415008,87110,72,2009,60,8,1.0,0,8,0,1,0,0,86500.0,43250.0,paid in full
2826716005,29532,42,2007,12,5,1.0,2,3,1,2,1,0,300000.0,270000.0,paid in full
8859934002,80014,72,2005,84,20,1.0,0,20,1,1,1,0,135197.0,22500.0,paid in full
1611865006,10017,71,2006,84,8,1.0,0,8,0,1,1,0,25000.0,12500.0,paid in full
5316565005,91402,62,2012,300,17,1.0,8,0,0,1,0,0,3000000.0,2250000.0,paid in full
2111295010,63130,62,2007,84,1,1.0,0,1,0,1,1,0,30444.0,12500.0,paid in full
3643526009,65201,54,2009,24,152,1.0,0,152,1,1,1,0,600000.0,75000.0,paid in full
1817725005,2176,81,2006,60,7,1.0,0,7,0,1,0,0,20000.0,17000.0,paid in full
4218285006,33043,81,2010,84,1,2.0,2,1,0,1,0,0,25000.0,21250.0,paid in full
1248096001,46507,32,2006,72,2,2.0,2,4,1,2,0,0,140000.0,50000.0,paid in full
4114623004,58103,62,1990,60,42,1.0,0,0,1,0,0,0,135000.0,121500.0,paid in full
4218833002,92335,42,1990,120,18,1.0,0,0,1,0,0,0,300000.0,255000.0,paid in full
2084385006,61615,72,2007,84,12,1.0,3,12,0,1,0,0,50000.0,25000.0,paid in full
6876774005,53186,33,2004,120,16,1.0,0,0,1,1,0,0,305625.0,229218.0,paid in full
3612795010,80110,42,2009,84,4,1.0,2,6,0,1,1,0,10000.0,9000.0,paid in full
7530704003,7306,61,2004,12,20,1.0,10,20,1,1,1,0,157000.0,75000.0,paid in full
2530995002,32765,23,2007,66,3,1.0,0,3,0,1,0,0,36000.0,12500.0,charged off
8667444003,4092,54,2005,83,12,1.0,1,12,1,2,1,0,463000.0,125000.0,paid in full
1830935003,7657,62,2006,84,3,2.0,0,3,0,1,1,0,14000.0,5000.0,paid in full
1475145007,43230,42,2005,4,1,2.0,0,1,0,1,0,0,23000.0,19550.0,charged off
3518084006,96701,81,2000,84,2,1.0,0,0,1,1,0,0,40000.0,32000.0,paid in full
2702755008,60187,81,2007,84,28,1.0,0,28,0,1,1,0,99911.0,36000.0,paid in full
8970913009,91360,54,1996,84,2,1.0,0,0,1,0,0,1,50000.0,40000.0,paid in full
2775276003,10308,23,2007,84,2,1.0,2,2,1,1,1,0,50000.0,20000.0,paid in full
3098325005,79922,33,2008,48,4,1.0,4,4,0,1,0,0,45219.0,22500.0,charged off
5663294005,1821,56,2002,113,5,1.0,0,5,1,1,1,0,49058.0,12500.0,paid in full
2007475005,44255,23,2006,84,2,2.0,50,2,0,1,0,0,25000.0,12500.0,paid in full
7021234006,10013,44,2004,84,2,1.0,0,2,1,1,1,0,59000.0,25000.0,paid in full
